rank,change,ship,fandom,works,gender,raceA,raceB
33,5,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku no Hero Academia | My Hero Academia,20070,M/M,Asian,Asian
34,10,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Minecraft (Video Game),19889,Multi,White,White
35,New,Steve Harrington/Eddie Munson,Stranger Things (TV 2016),19870,M/M,White,White
36,-4,Kara Danvers/Lena Luthor,Supergirl (TV 2015),19455,F/F,White,White
37,-4,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,19147,M/M,Asian,Asian
38,-4,Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion,Wiedźmin | The Witcher - All Media Types,18753,M/M,White,White
39,-2,Hermione Granger/Ron Weasley,Harry Potter - J. K. Rowling,18730,F/M,Ambiguous,White
40,-9,Sherlock Holmes & John Watson,Sherlock (TV),18470,M/M,White,White
41,-2,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,17813,M/M,Asian,Asian
42,7,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),17540,M/M,White,Latino
43,-2,Levi Ackerman/Eren Yeager,Shingeki no Kyojin | Attack on Titan,17017,M/M,White,White
44,-9,Blaine Anderson/Kurt Hummel,Glee,16891,M/M,Asian,White
45,-2,Jung Hoseok | J-Hope/Min Yoongi | Suga,Bangtan Boys | BTS,16614,M/M,Asian,Asian
46,-6,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),16511,M/M,White,White
47,5,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),16286,M/M,White,White
48,-6,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),16193,M/M,White,White
49,-1,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,15936,M/M,Asian,Asian
50,14,Bakugou Katsuki & Midoriya Izuku,Boku no Hero Academia | My Hero Academia,15709,M/M,Asian,Asian
51,6,Harry Potter/Ginny Weasley,Harry Potter - J. K. Rowling,15635,F/M,White,White
52,3,Harry Potter/Severus Snape,Harry Potter - J. K. Rowling,15340,M/M,White,White
53,1,Ian Gallagher/Mickey Milkovich,Shameless (US),15154,M/M,White,White
54,-4,Eddie Kaspbrak/Richie Tozier,IT (Movies – Muschietti),14803,M/M,White,White
55,-10,Keith/Shiro (Voltron),Voltron: Legendary Defender,14793,M/M,Ambiguous,Asian
56,-5,Evil Queen | Regina Mills/Emma Swan,Once Upon a Time (TV),14632,F/F,Latino,White
57,9,Toby Smith | Tubbo & TommyInnit,Minecraft (Video Game),14609,M/M,White,White
58,-11,Armitage Hux/Ben Solo | Kylo Ren,Star Wars Sequel Trilogy,14292,M/M,White,White
59,-6,Bellamy Blake/Clarke Griffin,The 100 (TV),14079,F/M,White,Asian
60,0,Kim Taehyung | V/Park Jimin,Bangtan Boys | BTS,13885,M/M,Asian,Asian
61,0,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,13815,M/N,White,Ambiguous
62,3,Dean Winchester & Sam Winchester,Supernatural (TV 2005),13771,M/M,White,White
63,New,Blackbeard | Edward Teach/Stede Bonnet,Our Flag Means Death (TV),13595,M/M,Indigenous,White
64,-6,Jensen Ackles/Jared Padalecki,Supernatural (TV 2005) RPF,13570,M/M,White,White
65,-9,Loki/Thor (Marvel),Thor (Movies),13563,M/M,White,White
66,-7,Gabriel/Sam Winchester,Supernatural (TV 2005),13412,M/M,White,White
67,-4,Jeon Jungkook/Min Yoongi | Suga,Bangtan Boys | BTS,13388,M/M,Asian,Asian
68,1,Fox Mulder/Dana Scully,The X-Files,13204,F/M,White,White
69,9,Uchiha Sasuke/Uzumaki Naruto,Naruto,13062,M/M,Asian,Asian
70,-8,Rodney McKay/John Sheppard,Stargate Atlantis,13004,M/M,White,White
71,2,Aziraphale & Crowley (Good Omens),Good Omens (TV),12790,N/N,White,White
72,22,Tartaglia | Childe/Zhongli (Genshin Impact),原神 | Genshin Impact (Video Game),12678,M/M,White,Asian
73,-6,Clarke Griffin/Lexa,The 100 (TV),12568,F/F,White,White
74,15,Technoblade & TommyInnit (Video Blogging RPF),Minecraft (Video Game),12452,M/M,White,White
75,10,Levi Ackerman/Erwin Smith,Shingeki no Kyojin | Attack on Titan,11980,M/M,White,White
76,-5,Mycroft Holmes/Greg Lestrade,Sherlock (TV),11919,M/M,White,White
77,-2,Jack Harkness/Ianto Jones,Torchwood,11916,M/M,White,White
78,5,Frank Iero/Gerard Way,My Chemical Romance,11872,M/M,White,White
79,New,Han Jisung | Han/Lee Minho | Lee Know,Stray Kids (Band),11772,M/M,Asian,Asian
80,-4,Loki/Tony Stark,The Avengers (Marvel Movies),11642,M/M,White,White
81,-9,Enjolras/Grantaire (Les Misérables),Les Misérables - All Media Types,11462,M/M,White,White
82,-8,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,11294,M/M,White,White
83,-3,Castiel & Dean Winchester,Supernatural (TV 2005),11278,M/M,White,White
84,7,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,11253,M/M,Asian,Asian
85,-15,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),11249,M/M,White,White
86,New,Aizawa Shouta | Eraserhead & Midoriya Izuku,Boku no Hero Academia | My Hero Academia,11220,M/M,Asian,Asian
87,-19,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),11165,F/M,White,White
88,0,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,11151,F/M,White,White
89,-12,Oliver Queen/Felicity Smoak,Arrow (TV 2012),11055,F/M,White,White
90,-8,Bilbo Baggins/Thorin Oakenshield,The Hobbit - All Media Types,10997,M/M,White,White
91,-10,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),10899,M/M,White,White
92,-2,Harry Potter/Tom Riddle | Voldemort,Harry Potter - J. K. Rowling,10889,M/M,White,White
93,-14,Captain Hook | Killian Jones/Emma Swan,Once Upon a Time (TV),10883,F/M,White,White
94,6,Bakugou Katsuki/Todoroki Shouto,Boku no Hero Academia | My Hero Academia,10774,M/M,Asian,Asian
95,New,Amity Blight/Luz Noceda,The Owl House (Cartoon),10722,F/F,White,Black
96,-10,Adora/Catra (She-Ra),She-Ra and the Princesses of Power (2018),10525,F/F,White,Latino
97,-13,Tenth Doctor/Rose Tyler,Doctor Who (2005),10493,F/M,White,White
98,New,Dabi | Todoroki Touya/Takami Keigo | Hawks,Boku no Hero Academia | My Hero Academia,10449,M/M,Asian,Asian
99,-12,Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,10405,M/M,Asian,Asian
100,New,Ranboo & Toby Smith | Tubbo,Minecraft (Video Game),10303,M/M,White,White
